stage,obs_days,mode,oof_inv_mae,raw_cov80,cal_mult80,cal_cov80,raw_cov50,cal_mult50,cal_cov50
D9,0,reanchor,36.104121260465675,0.8194393952689574,1.0,0.8194393952689574,0.5506324353461785,1.0,0.5506324353461785
D10,0,reanchor,37.65213496664838,0.8133154790960303,1.0,0.8133154790960303,0.5375532658742199,1.0,0.5375532658742199
D11,0,reanchor,39.02327958527243,0.8103568296044663,1.0,0.8103568296044663,0.5305038495273365,1.0,0.5305038495273365
D12+0d,0,none,35.367499759933224,0.7999926313462531,1.0000000149011612,0.8,0.5279861469309557,1.0,0.5279861469309557
D12+1d,1,pooled,30.323206106265253,0.7928009016483258,1.0133177489042282,0.8000015653616768,0.5142213108338681,1.0,0.5142213108338681
D12+2d,2,pooled,30.335958358637484,0.7916576254777921,1.0159456133842468,0.8000116839979302,0.5031046051643271,1.0,0.5031046051643271
D12+3d,3,branch,21.944591856962383,0.7889129230054166,1.024298682808876,0.8000053629846797,0.4996514059958168,1.0006895065307615,0.5
D12+5d,5,branch,18.39971774730043,0.7893843108657151,1.0221153050661087,0.8,0.4957183039899989,1.0065552294254303,0.5
D12+8d,8,branch,13.69266332814323,0.7895035893456027,1.0229588747024536,0.8000083150863383,0.5058898528229718,1.0,0.5058898528229718
D12+10d,10,branch,10.428954316186823,0.790741069841834,1.0175734758377075,0.8,0.50934778745335,1.0,0.50934778745335
